Height,Period,CaseIndex,File,MaxDisplacement(m),MaxDisplacement(mm),lnH,lnP,lnD,FittedDisplacement(mm),Error(%)
1,6,1,case1_H1_T6.sim,0.0072094774805009,7.2094774805009,0.0,1.791759469228055,1.9753964771728771,7.6938463473384395,6.718501696518047
1,8,2,case2_H1_T8.sim,0.0188486333936452,18.8486333936452,0.0,2.0794415416798357,2.9364404122549748,13.86163524416416,26.458141793783323
1,10,3,case3_H1_T10.sim,0.0278995297849178,27.8995297849178,0.0,2.302585092994046,3.328609835098121,21.884078722782185,21.561119877323186
1,12,4,case4_H1_T12.sim,0.0315696634352207,31.569663435220697,0.0,2.4849066497880004,3.4521966416078045,31.78062564311571,0.6682434493731465
1,14,5,case5_H1_T14.sim,0.0306399594992399,30.6399594992399,0.0,2.6390573296152584,3.422305023045143,43.567273785240936,42.191029287495404
2,6,6,case6_H2_T6.sim,0.0117407282814383,11.740728281438301,0.6931471805599453,1.791759469228055,2.4630638466699724,15.202713032621327,29.486967658184444
2,8,7,case7_H2_T8.sim,0.0337529517710208,33.7529517710208,0.6931471805599453,2.0794415416798357,3.519067873376244,27.390001472124254,18.851537317573417
2,10,8,case8_H2_T10.sim,0.0524461045861244,52.4461045861244,0.6931471805599453,2.302585092994046,3.9597860629922166,43.24200845534733,17.54962776246338
2,12,9,case9_H2_T12.sim,0.0624380856752395,62.4380856752395,0.6931471805599453,2.4849066497880004,4.134175436548794,62.79716410200903,0.5750951889159613
2,14,10,case10_H2_T14.sim,0.0638094842433929,63.8094842433929,0.6931471805599453,2.6390573296152584,4.155901835155111,86.08707934488311,34.91267068781694
3,6,11,case11_H3_T6.sim,0.0167956538498401,16.7956538498401,1.0986122886681098,1.791759469228055,2.8211201535264676,22.643309143738744,34.81647899021398
3,8,12,case12_H3_T8.sim,0.0490108542144298,49.0108542144298,1.0986122886681098,2.0794415416798357,3.8920417881600944,40.795367869535504,16.762585505958164
3,10,13,case13_H3_T10.sim,0.0774761289358138,77.4761289358138,1.0986122886681098,2.302585092994046,4.349969875181894,64.40575200949941,16.87019873843043
3,12,14,case14_H3_T12.sim,0.0960990265011787,96.0990265011787,1.0986122886681098,2.4849066497880004,4.565379185864362,93.53170036563574,2.671542292378442
3,14,15,case15_H3_T14.sim,0.1039923951029777,103.9923951029777,1.0986122886681098,2.6390573296152584,4.644317772457852,128.2202950687182,23.297761285091095
4,6,16,case16_H4_T6.sim,0.0233063083142042,23.3063083142042,1.3862943611198906,1.791759469228055,3.1487240670262486,30.039914123341894,28.89177349908244
4,8,17,case17_H4_T8.sim,0.0635243952274322,63.524395227432194,1.3862943611198906,2.0794415416798357,4.151424008931586,54.121477547810464,14.802057770022186
4,10,18,case18_H4_T10.sim,0.1032010242342948,103.20102423429479,1.3862943611198906,2.302585092994046,4.636678777749131,85.44436889206222,17.205890613953667
4,12,19,case19_H4_T12.sim,0.131341591477394,131.341591477394,1.3862943611198906,2.4849066497880004,4.877801497922503,124.08452443757633,5.525338134087338
4,14,20,case20_H4_T14.sim,0.1476175338029861,147.6175338029861,1.3862943611198906,2.6390573296152584,4.994624697814236,170.10440604256485,15.233198699546275
5,6,21,case21_H5_T6.sim,0.0298448130488395,29.844813048839498,1.6094379124341003,1.791759469228055,3.3960110575312834,37.403978830359456,25.32823968154792
5,8,22,case22_H5_T8.sim,0.0791844874620437,79.1844874620437,1.6094379124341003,2.0794415416798357,4.371780414258016,67.38896097219828,14.896259189022972
5,10,23,case23_H5_T10.sim,0.1290589272975921,129.0589272975921,1.6094379124341003,2.302585092994046,4.860269100816497,106.39042948291127,17.564455469562677
5,12,24,case24_H5_T12.sim,0.1688487380743026,168.8487380743026,1.6094379124341003,2.4849066497880004,5.129003273154272,154.50293586664853,8.496244846876575
5,14,25,case25_H5_T14.sim,0.1955952495336532,195.5952495336532,1.6094379124341003,2.6390573296152584,5.276047470668027,211.80425404821804,8.287013387702952
